video_pth,split,sentence,num_frames
train/00_0078.mp4,train,اين تقام الامتحانات ؟,230
train/00_0079.mp4,train,كنت غائب امس,142
train/00_0080.mp4,train,لماذا كنت غائب,172
train/00_0081.mp4,train,انا لم احل الواجب,202
train/00_0082.mp4,train,ممكن تعيد الشرح ؟,175
train/00_0083.mp4,train,اريد تحسين درجتي,172
train/00_0084.mp4,train,لدي محاضره الان,142
train/00_0085.mp4,train,حل الواجب خطا,172
train/00_0086.mp4,train,احب حصه الرياضيات,281
train/00_0088.mp4,train,استلام الشهادات غدا,172
train/00_0090.mp4,train,يوجد طلاب في الباص,262
train/00_0091.mp4,train,ممكن استعير كتابك ؟,175
train/00_0092.mp4,train,متي تبدا الحصه الاولي ؟,154
train/00_0093.mp4,train,هل هذا الكتاب مطلوب ؟,211
train/00_0094.mp4,train,ما هو المنهج الدراسي ؟,159
train/00_0095.mp4,train,متي ينتهي الفصل الدراسي ؟,260
train/00_0097.mp4,train,الاختبار النهائي يوم الاحد,202
train/00_0098.mp4,train,كيف جدولك هذا التيرم ؟,202
train/00_0099.mp4,train,ما هي متطلبات التخرج ؟,260
train/00_0100.mp4,train,بدا الدرس,82
train/00_0102.mp4,train,الشرح غير مفهوم,145
train/00_0103.mp4,val,عندي سؤال,112
train/00_0104.mp4,train,نسيت رقمي الجامعي,112
train/00_0105.mp4,train,ما اسم جامعتك ؟,117
train/00_0106.mp4,train,هل حليت الواجب ؟,153
train/00_0107.mp4,train,كيف كان امتحان ؟,128
train/00_0108.mp4,val,الدرس الجديد مهم,172
train/00_0109.mp4,val,المعلم جديد,110
train/00_0110.mp4,train,الطالب جديد,112
train/00_0113.mp4,train,هل يوجد كتب في المكتبه ؟,203
train/00_0114.mp4,train,المحاضره مسائيه,142
train/00_0115.mp4,train,تاجلت المحاضره,142
train/00_0116.mp4,train,الغيت المحاضره,123
train/00_0117.mp4,train,اين بطاقتك الجامعيه ؟,137
train/00_0119.mp4,train,كم مكافاه الطالب ؟,178
train/00_0120.mp4,train,حصلت علي درجه كامله في امتحان,260
train/00_0121.mp4,train,مشروع الماده صعب,191
train/00_0122.mp4,train,انا الصيدلاني,202
train/00_0123.mp4,train,اين الصيدلاني ؟,123
train/00_0124.mp4,val,بشرتي جافه,213
train/00_0125.mp4,train,بشرتي دهنيه,164
train/00_0126.mp4,test,الصيدلاني غير موجود,150
train/00_0127.mp4,train,كم الجرعه للاطفال ؟,177
train/00_0128.mp4,train,الدواء يسبب النعاس,172
train/00_0130.mp4,train,حليب الاطفال غالي,142
train/00_0131.mp4,val,اعطني دواء للارق,233
train/00_0132.mp4,train,دواء السعال هذا مناسب,278
train/00_0133.mp4,train,بكم العدسات الطبيه ؟,126
train/00_0134.mp4,train,ضع علاج الحبوب قبل النوم,208
train/00_0136.mp4,train,اريد فايتمن سي,164
train/00_0137.mp4,test,اريد فيتامين للطفل,205
train/00_0138.mp4,train,ضع العلاج في الثلاجه,232
train/00_0139.mp4,train,هل لديك كريم مرطب ؟,292
train/00_0140.mp4,train,اريد لصقات للجرح,202
train/00_0141.mp4,train,اريد مرطب شفاه,232
train/00_0142.mp4,train,احتاج مزيل للعرق,145
train/00_0143.mp4,train,احتاج مسكن للالم,101
train/00_0144.mp4,val,اريد دواء للغثيان,94
train/00_0145.mp4,train,ما نوع بشرتك ؟,74
train/00_0146.mp4,train,اريد محلول للعدسات,145
train/00_0147.mp4,train,اريد دواء للقلق,142
train/00_0149.mp4,train,الدواء امن للحوامل والمرضع,244
train/00_0150.mp4,train,اريد شامبو طبي,116
train/00_0153.mp4,train,صبغه الشعر لم تعجبني,167
train/00_0154.mp4,train,رضاعه الاطفال بكم ؟,112
train/00_0155.mp4,train,مكتوب في ورقه الارشادات,216
train/00_0156.mp4,train,ارغب بشراء حفاظات اطفال,148
train/00_0157.mp4,train,اريد حبوب منع حمل,208
train/00_0158.mp4,val,اريد كريم تفتيح للوجه,166
train/00_0159.mp4,train,اريد كريم للشد العضلي,229
train/00_0160.mp4,train,اريد لصقات تبييض اسنان,140
train/00_0161.mp4,train,اريد كريم شعرممتاز,167
train/00_0162.mp4,train,بكم هذا الشامبو ؟,140
train/00_0163.mp4,train,بشرتي حساسه,83
train/00_0165.mp4,train,لا يوجد حليب اطفال,166
train/00_0166.mp4,train,هل الدواء مناسب للاطفال ؟,202
train/00_0167.mp4,test,اريد حبوب كالسيوم,172
train/00_0168.mp4,train,خذ حبتين قبل النوم,202
train/00_0169.mp4,train,لدي شد عضلي,208
train/00_0170.mp4,train,هذه لصقات للشد العضلي,202
train/00_0173.mp4,train,اعطني مرهم للحروق,213
train/00_0174.mp4,train,كم سعر الكريم ؟,150
train/00_0175.mp4,train,احتاج دواء للمغص,128
train/00_0177.mp4,train,وصفه الدواء قديمه,202
train/00_0178.mp4,train,واقي الشمس مفيد,200
train/00_0179.mp4,train,الكريم خالي من العطور,202
train/00_0180.mp4,train,اسال الصيدلي,112
train/00_0181.mp4,train,الشامبو عليه خصم,232
train/00_0182.mp4,train,اتصل بالاسعاف,147
train/00_0183.mp4,train,الكهرباء مقطوعه,112
train/00_0184.mp4,val,ابقي هادئ,112
train/00_0185.mp4,train,اتصل بالطوارئ,112
train/00_0186.mp4,train,ابدا بالانعاش,194
train/00_0187.mp4,train,اتصل بالشرطه,71
train/00_0188.mp4,train,حدث انفجار,112
train/00_0189.mp4,train,اطلق النار علي,112
train/00_0190.mp4,train,البيت مشتعل,96
train/00_0191.mp4,train,طفلي ضائع,112
train/00_0192.mp4,train,جواله مغلق,172
train/00_0195.mp4,train,البس كمامه,109
train/00_0196.mp4,train,احتاج مساعده فوريه,93
train/00_0197.mp4,train,لا استطيع التنفس,142
train/00_0199.mp4,train,اتصل بالشرطه فورا,112
train/00_0200.mp4,train,اين اقرب مستشفي ؟,110
train/00_0201.mp4,train,هذه حاله طوارئ,172
train/00_0202.mp4,val,هناك حادث,172
train/00_0203.mp4,train,اضغط علي الجرح,180
train/00_0204.mp4,train,لا تتنفس,112
train/00_0205.mp4,train,يجب اخلاء المكان بسرعه,172
train/00_0207.mp4,train,هناك طفل مفقود,172
train/00_0208.mp4,train,هذه حاله تسمم,142
train/00_0209.mp4,train,هناك تهديد بقنبله,181
train/00_0210.mp4,train,صدمتني سياره,112
train/00_0211.mp4,test,سمعت طلق ناري,112
train/00_0212.mp4,val,هناك حاله اختناق,202
train/00_0213.mp4,train,لدي حروق شديده,200
train/00_0215.mp4,train,حدث التماس كهربائي,90
train/00_0216.mp4,val,انفجرت انبوبه الغاز,172
train/00_0217.mp4,train,يوجد تسرب غاز,175
train/00_0218.mp4,train,يوجد دخان كثير,147
train/00_0219.mp4,train,اصعد الي السطح,82
train/00_0220.mp4,train,اين طفايه الحريق ؟,142
train/00_0221.mp4,train,اين ابنته ؟,142
train/00_0222.mp4,train,ساكتب اسمي,142
train/00_0223.mp4,train,اين القطه ؟,109
train/00_0224.mp4,val,اين والدك ؟,121
train/00_0225.mp4,train,اين تعمل ؟,58
train/00_0226.mp4,test,اين كوبي ؟,87
train/00_0227.mp4,train,اين اصدقائك ؟,88
train/00_0230.mp4,train,ماذا تفعل ؟,85
train/00_0231.mp4,train,انا اقرا,142
train/00_0232.mp4,train,سعيد بلقائك,115
train/00_0233.mp4,train,انه صديقي,172
train/00_0234.mp4,train,اين المرحاض ؟,126
train/00_0235.mp4,train,احتاج الدراجه,172
train/00_0236.mp4,train,اخوك يشعر بالجوع,115
train/00_0237.mp4,train,والدتك جائعه,87
train/00_0238.mp4,train,تشتري الشاي,96
train/00_0239.mp4,train,اشتري الشوكولاته,142
train/00_0240.mp4,train,الامراه تقرا,87
train/00_0241.mp4,train,الولد يقرا,82
train/00_0242.mp4,train,اللعبه جميله,121
train/00_0244.mp4,train,الحافله جديده,112
train/00_0247.mp4,train,الشوكولاته صحيه,172
train/00_0248.mp4,train,اين كنت ؟,145
train/00_0249.mp4,train,ما المشكله ؟,109
train/00_0250.mp4,test,ثلاث ايام,66
train/00_0251.mp4,train,شكرا جزيلا,52
train/00_0252.mp4,val,شكرا لمساعدتك,82
train/00_0253.mp4,train,صباح الخير,93
train/00_0254.mp4,train,صف الرجل,123
train/00_0255.mp4,train,خمس سنوات,63
train/00_0256.mp4,train,متي مرضت ؟,112
train/00_0257.mp4,test,مساء الخير,83
train/00_0258.mp4,train,مع السلامه,52
train/00_0259.mp4,train,قضيه خلع,142
train/00_0260.mp4,train,قضيه طلاق,91
train/00_0261.mp4,train,نفقه الحضانه,142
train/00_0262.mp4,train,نفقه الرضاعه,110
train/00_0266.mp4,train,قضيه حضانه,112
train/00_0267.mp4,train,قضيه سلف,142
train/00_0268.mp4,train,شهاده زور,140
train/00_0269.mp4,train,قبل شهر,110
train/00_0271.mp4,test,هذه قضيه نفقه مستقبليه و ماضيه,380
train/00_0272.mp4,train,هذه قضيه شخصيه,118
train/00_0273.mp4,train,هذه قضيه مدنيه,183
train/00_0274.mp4,train,اين هو المحامي ؟,153
train/00_0275.mp4,train,انا اريد الخلع,109
train/00_0276.mp4,train,ما سبب الخلع ؟,140
train/00_0277.mp4,train,سبب الخلع ادمان المخدرات,170
train/00_0279.mp4,train,كم عده الطلاق ؟,273
train/00_0280.mp4,train,هذه الطلقه الثالثه,200
train/00_0281.mp4,train,هذه الطلقه الثانيه,189
train/00_0282.mp4,train,هذه الطلقه الاولي,159
train/00_0283.mp4,test,ما سبب الطلاق ؟,112
train/00_0284.mp4,train,طلب دفع الصداق,230
train/00_0286.mp4,train,من هم الورثه ؟,145
train/00_0287.mp4,val,قضيه تقسيم تركه,213
train/00_0288.mp4,val,لا وصيه لوارث,219
train/00_0289.mp4,train,هل لديك اثبات ؟,123
train/00_0290.mp4,val,ما هو الاثبات ؟,82
train/00_0291.mp4,train,يوجد لدي شهود,88
train/00_0292.mp4,train,هل الاعتراف خطي ؟,252
train/00_0294.mp4,train,ما هو السلف ؟,142
train/00_0295.mp4,train,ليس لدي شهود,142
train/00_0296.mp4,train,الشاهد يؤدي اليمين,145
train/00_0298.mp4,test,لا يوجد دليل,112
train/00_0299.mp4,train,انتهت الجلسه,142
train/00_0300.mp4,train,هذا المدعي العام,167
train/00_0301.mp4,train,الشاهد لم يحضر,85
train/00_0302.mp4,train,الشاهد يحلف,120
train/00_0303.mp4,train,الدفاع يعترض,112
train/00_0304.mp4,train,الحكم نهائي,82
train/00_0305.mp4,train,المدعي غير متواجد,232
train/00_0306.mp4,test,القاضي يتحدث,112
train/00_0307.mp4,train,لا يوجد دليل,88
train/00_0309.mp4,test,المدعي عليه قاصر,232
train/00_0310.mp4,train,تم العفو,91
train/00_0311.mp4,train,اريد استشاره قانونيه,150
train/00_0312.mp4,train,جريمه سرقه,140
train/00_0314.mp4,train,جريمه ابتزاز,91
train/00_0316.mp4,train,جريمه تزوير,142
train/00_0317.mp4,train,المدعي بريء,230
train/00_0318.mp4,val,اعترف الجاني,143
train/00_0319.mp4,train,اين المختبر ؟,107
train/00_0320.mp4,train,السكر منخفض,172
train/00_0321.mp4,train,السكر مرتفع,142
train/00_0323.mp4,train,متي ساتعافي ؟,142
train/00_0324.mp4,train,المستشفي بارد,170
train/00_0326.mp4,train,اشعر بالتوتر,107
train/00_0327.mp4,train,ذاكرتي ضعيفه,140
train/00_0328.mp4,train,هل تشعر بالم ؟,118
train/00_0329.mp4,train,اين قسم الطوارئ ؟,82
train/00_0330.mp4,train,ما هي اعراضك ؟,172
train/00_0331.mp4,train,اين غرفه المريض ؟,142
train/00_0332.mp4,train,ما هو وزنك ؟,109
train/00_0333.mp4,test,ما هو طولك ؟,150
train/00_0334.mp4,train,يرجي التوقيع هنا,112
train/00_0335.mp4,train,احتاج توقيع الطبيب,112
train/00_0336.mp4,train,احتاج توقيع المريض,110
train/00_0337.mp4,train,اين غرفه الفحص ؟,151
train/00_0338.mp4,train,انا اشعر بالغثياان,129
train/00_0339.mp4,train,متي حدثت اصابه ؟,194
train/00_0340.mp4,train,اريد فحص الضغط,148
train/00_0341.mp4,train,هل تشعر بالارهاق ؟,110
train/00_0342.mp4,train,اشعر بالم شديد,177
train/00_0343.mp4,train,متي تفتح الصيدليه ؟,113
train/00_0344.mp4,train,اين غرفه الاشعه ؟,172
train/00_0345.mp4,train,هل هذا مؤلم ؟,151
train/00_0346.mp4,train,المرض غير معدي,232
train/00_0347.mp4,train,كم تكلفه العلاج ؟,112
train/00_0348.mp4,train,اين عياده الاطفال ؟,112
train/00_0349.mp4,train,نبض الجنين ممتاز,178
train/00_0350.mp4,train,جنس الجنين ذكر,121
train/00_0351.mp4,train,جنس الجنين انثي,140
train/00_0352.mp4,train,اعاني من الحموضه,259
train/00_0354.mp4,train,ساخضع لجراحه غدا,143
train/00_0355.mp4,train,لدي حراره مرتفعه,139
train/00_0357.mp4,train,المريض لم ياتي,112
train/00_0358.mp4,test,لدي ضيق في التنفس,112
train/00_0359.mp4,test,لدي نزيف في اللثه,170
train/00_0361.mp4,train,اشعر بالم في الاذن,91
train/00_0362.mp4,train,لدي بروده في القدمين,142
train/00_0363.mp4,train,اعاني من الشعور بالضيق,202
train/00_0365.mp4,train,اشعر بالحرقه في العينين,172
train/00_0366.mp4,train,لدي الم في الكتف,112
train/00_0367.mp4,train,اعاني من الشعور بالارهاق,142
train/00_0368.mp4,test,لدي تورم في الرقبه,134
train/00_0369.mp4,train,اللوز منتفخه,128
train/00_0372.mp4,train,انا مريض بالسكري,143
train/00_0373.mp4,train,احتاج تحليل دم,126
train/00_0374.mp4,train,لديك تسمم طعام,88
train/00_0375.mp4,train,وقت الزياره انتهي,109
train/00_0376.mp4,train,اشرب الدواء,87
train/00_0377.mp4,train,الضغط مرتفع,94
train/00_0378.mp4,train,امي صائمه,91
train/00_0379.mp4,train,المختبر مزدحم,200
train/00_0380.mp4,train,هناك رسوم علي الامتعه الزائده,233
train/00_0382.mp4,test,اريد سماعات,126
train/00_0383.mp4,train,افتح حقيبتك,126
train/00_0384.mp4,val,ضاعت حقيبتي,172
train/00_0386.mp4,train,احتاج شاحن للجوال,153
train/00_0387.mp4,train,اربط حزام الامان,112
train/00_0388.mp4,test,ارغب بشراء تذكرتين,172
train/00_0389.mp4,train,استلام امتعه هناك,169
train/00_0390.mp4,val,المضيفه كانت لطيفه,221
train/00_0391.mp4,train,اين مكتب الامن ؟,143
train/00_0392.mp4,train,تاخرت الرحله كثيرا,145
train/00_0393.mp4,train,سوف تتاخر الرحله,162
train/00_0394.mp4,val,كم رقم مقعدك ؟,134
train/00_0395.mp4,train,لقد فاتت رحلتي,142
train/00_0397.mp4,train,مكتب الاستعلامات هناك,147
train/00_0398.mp4,train,هذا جواز زوجتي,222
train/00_0399.mp4,train,كم مده الترانزيت ؟,145
train/00_0400.mp4,test,رقم البوابه 12,113
train/00_0401.mp4,train,هو كابتن الطياره,178
train/00_0402.mp4,train,وزن الامتعه زائد,128
train/00_0403.mp4,train,هل لديك حقيبه ؟,117
train/00_0404.mp4,train,اريد الحصول علي بطانيه,150
train/00_0405.mp4,train,اريد تذكره الي الدمام,153
train/00_0406.mp4,train,اريد تغيير موعد رحلتي,134
train/00_0407.mp4,train,اريد شراء تذكره عوده,134
train/00_0408.mp4,train,اريد شراء شريحه جوال,121
train/00_0409.mp4,train,اريد ماكينه صراف الي,139
train/00_0410.mp4,train,اريد مقعد بجانب النافذه,186
train/00_0411.mp4,train,اريد مقعد لطفل رضيع,221
train/00_0412.mp4,train,اغلق هاتفك في الطياره,143
train/00_0413.mp4,train,الرحله تقلع بعد ساعه,150
train/00_0414.mp4,train,المصلي في الطابق الارضي,227
train/00_0415.mp4,train,الي اين انت مسافر ؟,85
train/00_0418.mp4,train,اين صاله رجال اعمال,131
train/00_0419.mp4,val,رحلتي الساعه الثامنه,88
train/00_0420.mp4,train,تغيرت البوابه,106
train/00_0421.mp4,train,انا عندي حقيبتين,115
train/00_0423.mp4,train,اخرج جهاز اللابتوب,139
train/00_0424.mp4,train,اخلع حذائك,112
train/00_0425.mp4,train,مقعدي 12,150
train/00_0426.mp4,train,كم سعر درجه الاعمال ؟,178
train/00_0428.mp4,train,عندي تاشيره دخول للدوله,200
train/00_0430.mp4,train,ضع اصبعك علي الجهاز,156
train/00_0431.mp4,val,ممنوع ادخال الولاعه,142
train/00_0432.mp4,train,كم تذكره الرضيع ؟,151
train/00_0433.mp4,train,ما نوع الطياره ؟,142
train/00_0434.mp4,train,الطيران الدولي تحت,112
train/00_0435.mp4,train,الطيران الداخلي هناك,167
train/00_0437.mp4,train,انتهيت من التفتيش,121
train/00_0438.mp4,train,لا يوجد ممنوعات,82
train/00_0441.mp4,train,احتفظ بالفكه,170
train/00_0443.mp4,train,زد السرعه,87
train/00_0444.mp4,train,اغلق النافذه,123
train/00_0445.mp4,test,انعطف يسارا,102
train/00_0447.mp4,train,الطريق مغلق,82
train/00_0448.mp4,train,الطريق مزدحم,82
train/00_0449.mp4,val,القطار سيتاخر,142
train/00_0450.mp4,train,هذا الطريق اسرع,88
train/00_0451.mp4,train,اريد الدفع نقدا,115
train/00_0452.mp4,val,السائق كان جيد,112
train/00_0454.mp4,test,المكيف لا يعمل,140
train/00_0455.mp4,train,اريد الغاء حجزي,85
train/00_0456.mp4,train,اوبر غير متوفر,80
train/00_0457.mp4,train,حمل تطبيق اوبر,202
train/00_0458.mp4,train,حمل تطبيق كريم,202
train/00_0459.mp4,train,ما نوع سيارتك ؟,115
train/00_0460.mp4,train,الطريق هذا خاطئ,112
train/00_0461.mp4,train,كم يستغرق الوصول ؟,82
train/00_0462.mp4,train,لقد فاتني القطار,151
train/00_0463.mp4,val,اريد جدول القطار,142
train/00_0464.mp4,train,اتجه الي اليسار,74
train/00_0465.mp4,val,التزم بسرعه الطريق,262
train/00_0466.mp4,train,لا يمكنني انتظار,82
train/00_0467.mp4,train,يوجد خصم خمسين بالمئه,113
train/00_0468.mp4,test,ممنوع الوقوف هنا,115
train/00_0470.mp4,train,ما لون سيارتك ؟,61
train/00_0471.mp4,train,كم لوحه السياره ؟,142
train/00_0472.mp4,test,الي اين تريد الذهاب ؟,112
train/00_0473.mp4,train,اريد الذهاب الي الفندق,118
train/00_0474.mp4,train,اريد الذهاب الي المطار,117
train/00_0476.mp4,train,ضع وجهتك في التطبيق,172
train/00_0477.mp4,train,اريد سياره تاكسي عائليه,202
train/00_0478.mp4,train,اين موقف التاكسي ؟,200
train/00_0479.mp4,train,قف عند محطه الوقود,154
train/00_0480.mp4,train,كم قيمه المشوار ؟,150
train/00_0481.mp4,train,سيارتي صغيره,71
train/00_0483.mp4,train,اقفل باب السياره,110
train/00_0484.mp4,train,بيتي قريب,90
train/00_0485.mp4,train,بيتي بعيد,93
train/00_0486.mp4,val,الطريق هذا افضل,110
train/00_0487.mp4,train,تاخر التاكسي,82
train/00_0488.mp4,train,القطار معطل,113
train/00_0489.mp4,train,اذهب الي اليمين,60
train/00_0492.mp4,train,كم عدد الركاب ؟,142
train/00_0493.mp4,train,السياره لا تكفي,112
train/00_0494.mp4,train,لا يوجد بنزين,88
train/00_0495.mp4,train,كم سعر البنزين ؟,69
train/00_0496.mp4,val,انا طلبت اوبر,249
train/00_0497.mp4,train,الباص مليان,142
train/00_0498.mp4,train,بعد الدوار يمين,210
train/00_0499.mp4,train,لا تسرع,83
train/00_0500.mp4,train,افتح شنطه السياره,121
train/01_0001.mp4,train,عندي حسابين,229
train/01_0002.mp4,val,اريد الغاء بطاقتي البنكيه,220
train/01_0003.mp4,val,اريد اضافه مستفيد,245
train/01_0004.mp4,train,اريد اغلاق حسابي البنكي,279
train/01_0005.mp4,train,اريد سداد فاتوره,197
train/01_0006.mp4,val,اريد قرض,136
train/01_0007.mp4,train,اريد تبديل العمله,156
train/01_0008.mp4,train,اريد تحديث بياناتي,222
train/01_0009.mp4,train,اريد تحويل الراتب,127
train/01_0010.mp4,train,اريد استشاره ماليه,225
train/01_0011.mp4,train,اريد ايداع نقود,186
train/01_0012.mp4,train,تم تجميد حسابك,273
train/01_0013.mp4,train,بطاقتي البنكيه مسروقه,177
train/01_0015.mp4,train,كم تريد سحب فلوس ؟,193
train/01_0016.mp4,train,كم راتبك الحالي ؟,191
train/01_0017.mp4,train,كم رصيدك الحالي ؟,281
train/01_0018.mp4,train,كم رقم حسابك ؟,177
train/01_0021.mp4,train,متي يفتح الفرع ؟,164
train/01_0023.mp4,train,اريد بطاقه مسبقه الدفع,251
train/01_0024.mp4,test,اريد تحديث رقم الجوال,189
train/01_0026.mp4,train,اريد سحب الف ريال,173
train/01_0027.mp4,train,اريد فتح حساب توفير,258
train/01_0029.mp4,train,اريد معرفه رقم الايبان,180
train/01_0030.mp4,train,احتاج الي بيان رصيد كشف حساب,359
train/01_0031.mp4,train,احتاج الي دفتر شيكات,161
train/01_0033.mp4,train,اريد تفاصيل الاستثمار,197
train/01_0034.mp4,train,اريد التواصل عبر الفيديو,192
train/01_0037.mp4,train,بطاقه الصراف لا تعمل,216
train/01_0038.mp4,train,تطبيق الجوال لا يعمل,242
train/01_0039.mp4,train,كيف يمكنني تفعيل البطاقه ؟,367
train/01_0040.mp4,train,كم رسوم الحواله الدوليه ؟,298
train/01_0041.mp4,train,كم رسوم الحواله لبنك اخر ؟,265
train/01_0042.mp4,train,توجد حواله مشبوهه,315
train/01_0043.mp4,train,الحساب مجمد,301
train/01_0044.mp4,train,تم تفعيل الحساب,233
train/01_0045.mp4,train,يجب زياره الفرع,320
train/01_0046.mp4,train,بطاقتي انسرقت,165
train/01_0047.mp4,train,كم كود التحقق ؟,296
train/01_0048.mp4,train,الدفع بالانترنت معطل,158
train/01_0049.mp4,train,سحبت ثلاث الاف ريال,228
train/01_0050.mp4,train,كم مبلغ الاستثمار ؟,215
train/01_0051.mp4,train,الحواله فشلت,79
train/01_0052.mp4,train,الرصيد لا يكفي,260
train/01_0053.mp4,train,كم قيمه الحواله ؟,145
train/01_0054.mp4,val,لم تصل الحواله,265
train/01_0055.mp4,val,اريد صرف الشيك,244
train/01_0056.mp4,test,اريد فتح حساب طالب,231
train/01_0057.mp4,train,التسديد خلال خمس سنوات,345
train/01_0058.mp4,train,كم نسبه الفائده ؟,177
train/01_0059.mp4,train,كم عدد الاقساط ؟,204
train/01_0060.mp4,train,اريد قرض سياره,170
train/01_0061.mp4,train,ممنوع الغش,215
train/01_0062.mp4,train,تخصصي فيزياء,234
train/01_0065.mp4,train,كيف اسجل للمحاضرات ؟,267
train/01_0067.mp4,train,مكتبه الجامعه كبيره,262
train/01_0068.mp4,train,اين مكتب التسجيل ؟,134
train/01_0070.mp4,train,مقهي الطلاب مغلق,215
train/01_0071.mp4,val,المشروع عن ماذا ؟,229
train/01_0072.mp4,train,ما هو تخصصك ؟,251
train/01_0073.mp4,train,تسجيل المواد مغلق,222
train/01_0074.mp4,test,الاختبار كان سهل,169
train/01_0075.mp4,train,انا طالب طب,156
train/01_0076.mp4,val,المعلم لم يعجبني,167
train/01_0077.mp4,train,شرح المعلم ممتاز,177
train/01_0078.mp4,train,اين تقام الامتحانات ؟,266
train/01_0079.mp4,train,كنت غائب امس,201
train/01_0080.mp4,train,لماذا كنت غائب,195
train/01_0081.mp4,train,انا لم احل الواجب,276
train/01_0082.mp4,train,ممكن تعيد الشرح ؟,213
train/01_0083.mp4,train,اريد تحسين درجتي,251
train/01_0084.mp4,train,لدي محاضره الان,200
train/01_0085.mp4,train,حل الواجب خطا,199
train/01_0086.mp4,val,احب حصه الرياضيات,303
train/01_0088.mp4,train,استلام الشهادات غدا,207
train/01_0090.mp4,test,يوجد طلاب في الباص,262
train/01_0091.mp4,train,ممكن استعير كتابك ؟,267
train/01_0092.mp4,train,متي تبدا الحصه الاولي ؟,238
train/01_0093.mp4,train,هل هذا الكتاب مطلوب ؟,236
train/01_0094.mp4,train,ما هو المنهج الدراسي ؟,182
train/01_0095.mp4,train,متي ينتهي الفصل الدراسي ؟,282
train/01_0097.mp4,val,الاختبار النهائي يوم الاحد,335
train/01_0098.mp4,train,كيف جدولك هذا التيرم ؟,213
train/01_0099.mp4,train,ما هي متطلبات التخرج ؟,302
train/01_0100.mp4,train,بدا الدرس,120
